task,class,recall,precision,prevalence
Screening,Adventitious,1.0,0.16741989539430255,0.16741989539430255
Screening,Adventitious,1.0,0.16783750763591937,0.16741989539430255
Screening,Adventitious,1.0,0.16825720847154887,0.16741989539430255
Screening,Adventitious,1.0,0.16867901360892254,0.16741989539430255
Screening,Adventitious,1.0,0.16910293891367903,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.16948629608680002,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.16991442416743993,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.1703447206573983,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17077720207253885,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17122077922077922,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17165772616009584,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.1720969089390142,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17253834476260274,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17299113000577337,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17343717112186907,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.1738855183328937,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17433618956944885,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17479847263470513,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17525389482639442,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.1757116963428937,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.1761718958789887,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.1766439787769977,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17710908113917248,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.17757663918969882,0.16741989539430255
Screening,Adventitious,0.9996966939642099,0.1780466724286949,0.16741989539430255
Screening,Adventitious,0.9993933879284198,0.1784747047990467,0.16741989539430255
Screening,Adventitious,0.9993933879284198,0.178949655134959,0.16741989539430255
Screening,Adventitious,0.9990900818926297,0.1793726856893923,0.16741989539430255
Screening,Adventitious,0.9990900818926297,0.17985257985257985,0.16741989539430255
Screening,Adventitious,0.9990900818926297,0.18034492198193267,0.16741989539430255
Screening,Adventitious,0.9990900818926297,0.1808300395256917,0.16741989539430255
Screening,Adventitious,0.9990900818926297,0.18131777398579843,0.16741989539430255
Screening,Adventitious,0.9990900818926297,0.18180814659454686,0.16741989539430255
Screening,Adventitious,0.9987867758568395,0.18225592207217178,0.16741989539430255
Screening,Adventitious,0.9987867758568395,0.18275154004106775,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.1831942125765164,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.18369510629987165,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.18420905377427116,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.18471552014364268,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.18522477915939908,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.18573685398329948,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.18626230621251555,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.18678014184397163,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.18730086481565772,0.16741989539430255
Screening,Adventitious,0.9984834698210494,0.18782449934386947,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.18830462894089375,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.18883406013311912,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.1893664767823235,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.18990190421234854,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.19045138888888888,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.19099297777261912,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.19153765568618322,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.19208544913325162,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.19264766141778375,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.19320183163085594,0.16741989539430255
Screening,Adventitious,0.9981801637852593,0.19375919929349425,0.16741989539430255
Screening,Adventitious,0.9975735517136791,0.19432791728212703,0.16741989539430255
Screening,Adventitious,0.9975735517136791,0.19493835941204363,0.16741989539430255
Screening,Adventitious,0.9975735517136791,0.1955293977765888,0.16741989539430255
Screening,Adventitious,0.9975735517136791,0.19611233677180848,0.16741989539430255
Screening,Adventitious,0.997270245677889,0.19662719770362397,0.16741989539430255
Screening,Adventitious,0.997270245677889,0.1972168905950096,0.16741989539430255
Screening,Adventitious,0.997270245677889,0.197810131151486,0.16741989539430255
Screening,Adventitious,0.9969669396420989,0.19833464068062512,0.16741989539430255
Screening,Adventitious,0.9969669396420989,0.19892277898813845,0.16741989539430255
Screening,Adventitious,0.9969669396420989,0.19952652664805148,0.16741989539430255
Screening,Adventitious,0.9969669396420989,0.20012176560121767,0.16741989539430255
Screening,Adventitious,0.9966636336063087,0.20065950170981925,0.16741989539430255
Screening,Adventitious,0.9963603275705186,0.20120046548661727,0.16741989539430255
Screening,Adventitious,0.9963603275705186,0.20181851692572342,0.16741989539430255
Screening,Adventitious,0.9963603275705186,0.20242790239092925,0.16741989539430255
Screening,Adventitious,0.9960570215347285,0.202979170529699,0.16741989539430255
Screening,Adventitious,0.9957537154989384,0.20353378797272165,0.16741989539430255
Screening,Adventitious,0.9957537154989384,0.20416666666666666,0.16741989539430255
Screening,Adventitious,0.9954504094631483,0.20472833884349073,0.16741989539430255
Screening,Adventitious,0.9954504094631483,0.20535602552871982,0.16741989539430255
Screening,Adventitious,0.9954504094631483,0.20598757296177744,0.16741989539430255
Screening,Adventitious,0.9954504094631483,0.20663602593968394,0.16741989539430255
Screening,Adventitious,0.9954504094631483,0.2072754831375521,0.16741989539430255
Screening,Adventitious,0.9954504094631483,0.20791891035793475,0.16741989539430255
Screening,Adventitious,0.9948437973915681,0.20843924758515506,0.16741989539430255
Screening,Adventitious,0.9948437973915681,0.209103659314038,0.16741989539430255
Screening,Adventitious,0.9948437973915681,0.20975890516083648,0.16741989539430255
Screening,Adventitious,0.9948437973915681,0.21041827046445985,0.16741989539430255
Screening,Adventitious,0.9948437973915681,0.21108179419525067,0.16741989539430255
Screening,Adventitious,0.9948437973915681,0.21176318677771322,0.16741989539430255
Screening,Adventitious,0.9948437973915681,0.21243523316062177,0.16741989539430255
Screening,Adventitious,0.9948437973915681,0.2131115587031382,0.16741989539430255
Screening,Adventitious,0.9948437973915681,0.2137922044062052,0.16741989539430255
Screening,Adventitious,0.9945404913557779,0.21442584357834163,0.16741989539430255
Screening,Adventitious,0.9942371853199878,0.2150495309322312,0.16741989539430255
Screening,Adventitious,0.9942371853199878,0.21574305646965908,0.16741989539430255
Screening,Adventitious,0.9942371853199878,0.21644106965995377,0.16741989539430255
