task,order,median,lo,hi,n
Screening,Attribution-ordered,0.6099129915237427,0.5163125991821289,0.7156856656074524,266
Screening,Random order,0.7398978173732758,0.6443125605583191,0.7984595149755478,266
Sound pattern,Attribution-ordered,0.5029284954071045,0.358370304107666,0.660854697227478,337
Sound pattern,Random order,0.6960786581039429,0.5790952444076538,0.7971528768539429,337
