task,auc,lo,hi
Screening,0.9481105454676761,0.9364359095523488,0.9582756478861311
Sound pattern,0.949908139010527,0.939895543967735,0.9583162892270722
Disease group,0.5832004819188978,0.5426985377727419,0.6238159394367662
