task,arm,auc,lo,hi
Screening,L0,0.9897020157756353,0.9809057881392615,0.9983811040062138
Screening,L2,0.988387379491674,0.977493029390969,0.9975310521762222
Screening,delta,-0.0013146362839613346,-0.010406386470315837,0.006016837491392538
Sound pattern,L0,0.9854963098787857,0.9721296860354103,0.9959883170519087
Sound pattern,L2,0.9713948500422435,0.9219209296903732,0.9941409214542207
Sound pattern,delta,-0.014101459836542207,-0.05707153067105523,0.0032151505847350446
Disease group,L0,0.6754539240445121,0.5156310201592581,0.8038609896348412
Disease group,L2,0.8870294542361483,0.8036264788352584,0.9355187798376672
Disease group,delta,0.21157553019163622,0.08529686396289009,0.36371136761171796
