threshold,treat_none,treat_all,confweighted,any_2
0.05,0.0,0.29204805491990843,0.09217677345537757,0.2518592677345538
0.1,0.0,0.2527173913043478,0.09193840579710146,0.2433574879227053
0.15,0.0,0.20875959079283885,0.09167199488491048,0.23385549872122763
0.2,0.0,0.1593070652173913,0.09137228260869565,0.22316576086956522
0.25,0.0,0.1032608695652174,0.09103260869565218,0.21105072463768118
0.3,0.0,0.039208074534161474,0.09064440993788819,0.19720496894409936
0.35,0.0,-0.0346989966555184,0.09019648829431438,0.18122909698996656
0.4,0.0,-0.12092391304347833,0.08967391304347826,0.16259057971014493
